Date,Venue,Home.Team,Away.Team,Home.Score,Away.Score,Home.Margin,Away.Margin,Home.Win.Odds,Away.Win.Odds,Home.Line.Odds,Away.Line.Odds,Round,Season
15/4/11,M.C.G.,Richmond,Collingwood,90,161,-71,71,8.6,1.07,47.5,-47.5,4,2011
16/4/11,M.C.G.,Carlton,Essendon,79,79,0,0,1.89,1.93,0,0,4,2011
16/4/11,UTAS,Hawthorn,West Coast,72,65,7,-7,1.12,6.3,-39.5,39.5,4,2011
16/4/11,S.C.G.,Sydney,Geelong,54,81,-27,27,2.09,1.78,3.5,-3.5,4,2011
16/4/11,AAMI,Port Adelaide,Adelaide,98,66,32,-32,2.95,1.42,15.5,-15.5,4,2011
17/4/11,Gabba,Gold Coast,Melbourne,69,159,-90,90,8,1.08,45.5,-45.5,4,2011
17/4/11,Domain,Fremantle,North Melbourne,127,98,29,-29,1.17,5.1,-32.5,32.5,4,2011
21/4/11,Gabba,Brisbane,St Kilda,76,89,-13,13,3.55,1.3,22.5,-22.5,5,2011
23/4/11,AAMI,Port Adelaide,Gold Coast,101,104,-3,3,1.03,14.4,-64.5,64.5,5,2011
23/4/11,Marvel,Carlton,Adelaide,85,79,6,-6,1.27,3.95,-25.5,25.5,5,2011
24/4/11,Marvel,North Melbourne,Richmond,103,112,-9,9,1.88,1.93,-1.5,1.5,5,2011
25/4/11,M.C.G.,Essendon,Collingwood,77,107,-30,30,4.3,1.22,27.5,-27.5,5,2011
25/4/11,Domain,Fremantle,Western Bulldogs,85,78,7,-7,1.65,2.3,-8.5,8.5,5,2011
26/4/11,M.C.G.,Hawthorn,Geelong,98,117,-19,19,2.02,1.8,3.5,-3.5,5,2011
28/4/11,Domain,West Coast,Melbourne,106,52,54,-54,1.49,2.7,-11.5,11.5,6,2011
29/4/11,S.C.G.,Sydney,Carlton,71,87,-16,16,1.76,2.07,-4.5,4.5,6,2011
30/4/11,Marvel,North Melbourne,Port Adelaide,133,73,60,-60,1.44,2.8,-16.5,16.5,6,2011
30/4/11,M.C.G.,Richmond,Brisbane,124,98,26,-26,1.38,3.17,-17.5,17.5,6,2011
30/4/11,AAMI,Adelaide,St Kilda,90,71,19,-19,1.77,2.1,-4.5,4.5,6,2011
1/5/11,Marvel,Essendon,Gold Coast,197,58,139,-139,1.03,12.5,-66.5,66.5,6,2011
1/5/11,M.C.G.,Collingwood,Western Bulldogs,105,57,48,-48,1.09,8.1,-36.5,36.5,6,2011
6/5/11,AAMI,Port Adelaide,Hawthorn,72,104,-32,32,5.15,1.18,24.5,-24.5,7,2011
7/5/11,Canberra,Western Bulldogs,Sydney,65,73,-8,8,1.69,2.18,-5.5,5.5,7,2011
7/5/11,GMHBA,Geelong,North Melbourne,127,61,66,-66,1.06,9.25,-46.5,46.5,7,2011
7/5/11,M.C.G.,Richmond,Fremantle,148,99,49,-49,2.21,1.67,6.5,-6.5,7,2011
7/5/11,Gabba,Gold Coast,Brisbane,124,116,8,-8,5.85,1.15,47.5,-47.5,7,2011
8/5/11,Marvel,Essendon,West Coast,106,90,16,-16,1.22,4.32,-30.5,30.5,7,2011
8/5/11,M.C.G.,Melbourne,Adelaide,149,53,96,-96,1.85,1.96,-2.5,2.5,7,2011
9/5/11,Marvel,St Kilda,Carlton,81,84,-3,3,2.77,1.45,15.5,-15.5,7,2011
13/5/11,M.C.G.,Geelong,Collingwood,65,62,3,-3,2.65,1.49,13.5,-13.5,8,2011
14/5/11,Marvel,North Melbourne,Melbourne,124,83,41,-41,1.85,1.96,-1.5,1.5,8,2011
14/5/11,AAMI,Adelaide,Gold Coast,130,73,57,-57,1.15,5.5,-38.5,38.5,8,2011
14/5/11,S.C.G.,Sydney,Port Adelaide,121,59,62,-62,1.13,6.4,-37.5,37.5,8,2011
14/5/11,Gabba,Brisbane,Essendon,66,102,-36,36,5,1.19,28.5,-28.5,8,2011
15/5/11,M.C.G.,Hawthorn,St Kilda,99,69,30,-30,1.43,2.85,-16.5,16.5,8,2011
15/5/11,Marvel,Western Bulldogs,Richmond,153,118,35,-35,1.7,2.16,-7.5,7.5,8,2011
15/5/11,Domain,West Coast,Fremantle,96,63,33,-33,1.93,1.89,1.5,-1.5,8,2011
20/5/11,Marvel,Carlton,Geelong,100,102,-2,2,2.8,1.44,15.5,-15.5,9,2011
