"","X","Date","Match_id","Season","Team","Opposition","Status","Venue","Round","results","Odds","line_Odds","Opp_Odds","Opp_lineOdds","Tips","Loss_prob","Win_Prob","Actual","Team_predicted","margin_estimate_1","margin_estimate_2","Tip_Outcome","Actual.Margin"
"117",117,"25/7/20",9984,2020,"Carlton","North Melbourne","Away","Gabba","Round 8",999,1.56,-10.5,2.45,10.5,1,0.384829462,0.615170598,1,"Carlton",16,13,1,7
"118",118,"25/7/20",9985,2020,"Hawthorn","Sydney","Away","S.C.G.","Round 8",999,1.68,-6.5,2.2,6.5,1,0.408008993,0.591991067,0,"Hawthorn",13,4,0,-7
"119",119,"25/7/20",9986,2020,"St Kilda","Port Adelaide","Away","Adelaide Oval","Round 8",999,2.95,16.5,1.4,-16.5,0,0.630028725,0.369971246,1,"Port Adelaide",-16,-15,0,29
"120",120,"26/7/20",9987,2020,"Essendon","Adelaide","Away","Adelaide Oval","Round 8",999,1.47,-13.5,2.7,13.5,1,0.394956976,0.605042994,1,"Essendon",15,12,1,3
"121",121,"26/7/20",9988,2020,"Collingwood","West Coast","Away","Perth Stadium","Round 8",999,2.15,5.5,1.71,-5.5,0,0.545093477,0.454906583,0,"West Coast",-5,-5,1,-66
"122",122,"26/7/20",9989,2020,"Brisbane","Melbourne","Away","Carrara","Round 8",999,1.5,-12.5,2.6,12.5,1,0.40312928,0.59687072,1,"Brisbane",13,5,1,4
"123",123,"27/7/20",9990,2020,"Geelong","Fremantle","Away","Perth Stadium","Round 8",999,1.56,-10.5,2.45,10.5,1,0.391558468,0.608441532,1,"Geelong",15,13,1,32
"124",124,"29/7/20",9982,2020,"Western Bulldogs","Richmond","Home","Carrara","Round 9",999,2.1,3.5,1.74,-3.5,0,0.565768778,0.434231192,0,"Richmond",-7,-4,1,-41
"125",125,"30/7/20",9983,2020,"Melbourne","Port Adelaide","Home","Sydney Showground","Round 9",999,2.2,6.5,1.65,-6.5,0,0.54727304,0.45272696,0,"Port Adelaide",-5,-4,1,-51
"126",126,"31/7/20",9984,2020,"Carlton","Hawthorn","Home","Gabba","Round 9",999,1.51,-10.5,2.5,10.5,1,0.382447422,0.617552638,0,"Carlton",16,14,0,-31
"127",127,"31/7/20",9985,2020,"Essendon","Brisbane","Home","S.C.G.","Round 9",999,2.92,15.5,1.39,-15.5,0,0.634908617,0.365091443,0,"Brisbane",-16,-14,1,-63
"128",128,"1/8/20",9986,2020,"North Melbourne","Adelaide","Home","Adelaide Oval","Round 9",999,1.47,-11.5,2.62,11.5,1,0.381406158,0.618593812,1,"North Melbourne",16,12,1,69
"129",129,"1/8/20",9987,2020,"St Kilda","Sydney","Home","Adelaide Oval","Round 9",999,1.4,-14.5,2.86,14.5,1,0.369404584,0.630595446,1,"St Kilda",18,12,1,53
"130",130,"1/8/20",9988,2020,"West Coast","Geelong","Home","Perth Stadium","Round 9",999,1.35,-16.5,3.14,16.5,1,0.362554729,0.637445271,1,"West Coast",19,14,1,9
"131",131,"2/8/20",9989,2020,"Gold Coast","GWS","Home","Carrara","Round 9",999,2.37,9.5,1.56,-9.5,0,0.551855505,0.448144466,0,"GWS",-6,-4,1,-26
"132",132,"2/8/20",9990,2020,"Fremantle","Collingwood","Home","Perth Stadium","Round 9",999,3.18,16.5,1.34,-16.5,0,0.632481515,0.367518485,1,"Collingwood",-16,-13,0,12
"133",133,"29/7/20",9982,2020,"Richmond","Western Bulldogs","Away","Carrara","Round 9",999,1.74,-3.5,2.1,3.5,1,0.414791048,0.585208893,1,"Richmond",12,0,1,41
"134",134,"30/7/20",9983,2020,"Port Adelaide","Melbourne","Away","Sydney Showground","Round 9",999,1.65,-6.5,2.2,6.5,1,0.433084369,0.566915631,1,"Port Adelaide",10,3,1,51
"135",135,"31/7/20",9984,2020,"Hawthorn","Carlton","Away","Gabba","Round 9",999,2.5,10.5,1.51,-10.5,0,0.604838848,0.395161152,1,"Carlton",-13,-13,0,31
"136",136,"31/7/20",9985,2020,"Brisbane","Essendon","Away","S.C.G.","Round 9",999,1.39,-15.5,2.92,15.5,1,0.360971659,0.639028311,1,"Brisbane",19,14,1,63
"137",137,"1/8/20",9986,2020,"Adelaide","North Melbourne","Away","Adelaide Oval","Round 9",999,2.62,11.5,1.47,-11.5,0,0.609391391,0.390608609,0,"North Melbourne",-13,-13,1,-69
"138",138,"1/8/20",9987,2020,"Sydney","St Kilda","Away","Adelaide Oval","Round 9",999,2.86,14.5,1.4,-14.5,0,0.642017186,0.357982814,0,"St Kilda",-17,-12,1,-53
"139",139,"1/8/20",9988,2020,"Geelong","West Coast","Away","Perth Stadium","Round 9",999,3.14,16.5,1.35,-16.5,0,0.637295246,0.362704784,0,"West Coast",-17,-13,1,-9
"140",140,"2/8/20",9989,2020,"GWS","Gold Coast","Away","Carrara","Round 9",999,1.56,-9.5,2.37,9.5,1,0.440493554,0.559506416,1,"GWS",9,4,1,26
"141",141,"2/8/20",9990,2020,"Collingwood","Fremantle","Away","Perth Stadium","Round 9",999,1.34,-16.5,3.18,16.5,1,0.367173702,0.632826269,0,"Collingwood",18,15,0,-12
